10:26:57.220 | Info | '/transaction/createGenerateBills' | 
10:26:57.572 | Info | ({}) | 
10:27:19.957 | Info | '/transaction/createGenerateBills' | 
10:27:19.964 | Info | ({}) | 
10:28:42.517 | Info | '/transaction/createGenerateBills' | 
10:28:42.744 | Info | ({}) | 
10:29:48.172 | Info | '/transaction/createGenerateBills' | 
10:29:48.479 | Info | ({}) | 
10:30:39.378 | Info | '/transaction/createGenerateBills' | 
10:30:39.632 | Info | ({}) | 
10:31:47.189 | Info | '/transaction/createGenerateBills' | 
10:31:47.483 | Info | ({}) | 
10:33:31.131 | Info | '/transaction/createGenerateBills' | 
10:33:31.459 | Info | ({}) | 
10:35:20.771 | Info | '/transaction/createGenerateBills' | 
10:35:21.070 | Info | ({}) | 
10:37:00.592 | Info | '/transaction/createGenerateBills' | 
10:37:00.885 | Info | ({}) | 
10:39:28.005 | Info | '/transaction/createGenerateBills' | 
10:39:28.400 | Info | ({}) | 
10:40:30.188 | Info | '/transaction/createGenerateBills' | 
10:40:30.513 | Info | ({}) | 
10:41:21.142 | Info | '/transaction/createGenerateBills' | 
10:41:21.360 | Info | ({}) | 
10:42:33.826 | Info | '/transaction/createGenerateBills' | 
10:42:34.017 | Info | ({}) | 
10:45:43.998 | Info | '/transaction/createGenerateBills' | 
10:45:44.502 | Info | ({}) | 
10:52:44.807 | Info | '/transaction/createGenerateBills' | 
10:52:45.241 | Info | ({}) | 
10:54:15.401 | Info | '/transaction/createGenerateBills' | 
10:54:15.744 | Info | ({}) | 
10:57:50.042 | Info | '/transaction/createGenerateBills' | 
10:57:50.490 | Info | ({}) | 
11:06:03.475 | Info | '/transaction/createGenerateBills' | 
11:06:03.619 | Info | ({}) | 
11:08:00.293 | Info | '/transaction/createGenerateBills' | 
11:08:00.429 | Info | ({}) | 
11:08:58.263 | Info | '/transaction/createGenerateBills' | 
11:08:58.406 | Info | ({}) | 
11:09:33.883 | Info | '/transaction/createGenerateBills' | 
11:09:34.021 | Info | ({}) | 
11:10:34.155 | Info | '/transaction/createGenerateBills' | 
11:10:34.295 | Info | ({}) | 
11:11:37.155 | Info | '/transaction/createGenerateBills' | 
11:11:37.293 | Info | ({}) | 
11:12:57.285 | Info | '/transaction/createGenerateBills' | 
11:12:57.425 | Info | ({}) | 
11:13:29.525 | Info | '/transaction/createGenerateBills' | 
11:13:29.667 | Info | ({}) | 
11:13:53.396 | Info | '/transaction/createGenerateBills' | 
11:13:53.539 | Info | ({}) | 
11:15:30.231 | Info | '/transaction/createGenerateBills' | 
11:15:30.371 | Info | ({}) | 
11:15:57.825 | Info | '/transaction/createGenerateBills' | 
11:15:57.985 | Info | ({'message':'You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'?,?,?,?)\' at line 1','code':'ER_PARSE_ERROR','errno':1064,'sqlState':'42000','sqlMessage':'You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'?,?,?,?)\' at line 1'}) | 
11:16:30.465 | Info | '/transaction/createGenerateBills' | 
11:16:30.605 | Info | ({}) | 
11:16:56.540 | Info | '/transaction/createGenerateBills' | 
11:16:56.680 | Info | ({'message':'You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'?,?,?)\' at line 1','code':'ER_PARSE_ERROR','errno':1064,'sqlState':'42000','sqlMessage':'You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'?,?,?)\' at line 1'}) | 
11:17:55.126 | Info | '/transaction/createGenerateBills' | 
11:17:55.265 | Info | ({}) | 
