01:59:35.041 | Info | '/transaction/testapi' | 
01:59:42.963 | Info | '/transaction/testapi' | 
02:00:45.037 | Info | '/transaction/testapi' | 
02:01:44.481 | Info | '/transaction/testapi' | 
02:01:50.101 | Info | '/transaction/testapi' | 
02:02:11.710 | Info | '/transaction/testapi' | 
02:02:26.313 | Info | '/transaction/testapi' | 
02:02:27.686 | Info | '/transaction/testapi' | 
02:02:31.097 | Info | '/transaction/testapi' | 
02:02:43.932 | Info | '/transaction/testapi' | 
02:02:58.442 | Info | '/transaction/testapi' | 
06:19:41.229 | Info | '/transaction/testapi' | 
06:20:09.072 | Info | '/transaction/testapi' | 
09:09:02.775 | Info | '/transaction/testapi' | 
12:37:44.844 | Info | '/transaction/testapi' | 
12:38:43.607 | Info | '/transaction/testapi' | 
12:38:53.351 | Info | '/transaction/testapi' | 
12:38:53.383 | Info | ({}) | 
12:38:58.717 | Info | '/transaction/testapi' | 
12:39:34.999 | Info | '/transaction/testapi' | 
12:39:49.503 | Info | '/transaction/testapi' | 
12:39:49.508 | Info | ({}) | 
12:39:55.073 | Info | '/transaction/testapi' | 
12:40:57.384 | Info | '/transaction/testapi' | 
12:41:53.837 | Info | '/transaction/testapi' | 
12:41:53.840 | Info | ({}) | 
12:42:05.879 | Info | '/transaction/testapi' | 
